institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student 
de paul institute of science and technology school of management,master of human resource management,"KMAT, CMAT, CAT",14:NA|3:NA|1:NA,cochin,2,India,2 Years,0,Human Resources,kerala,0
jai bharath school of management studies,master of business administration,"KMAT, CMAT, CAT, MAT",14:NA|3:NA|1:NA|4:NA,cochin,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",kerala,110000
mar thoma school of management studies,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,cochin,2,India,2 Years,0,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",kerala,0
rajagiri centre for business studies,master of human resource management,"CMAT, MAT, CAT, KMAT",3:NA|4:NA|1:NA|14:NA,cochin,2,India,2 Years,0,Human Resources,kerala,0
rajagiri centre for business studies,post graduate diploma in management,"CMAT, MAT, CAT, KMAT",3:NA|4:NA|1:NA|14:NA,cochin,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management, International Business",kerala,650000
rural academy for management studies rams,master of business administration,"KMAT, CAT, CMAT",14:NA|1:NA|3:NA,cochin,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",kerala,160000
sree narayana gurukulam college of engineering,master of business administration,"CMAT, CAT, KMAT",3:NA|1:NA|14:NA,cochin,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",kerala,0
viswajyothi school of management studies,master of business administration,"CMAT, KMAT, CAT",3:NA|14:NA|1:NA,cochin,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",kerala,300000
vivekananda institute of management studies,master of business administration,"TANCET, Others, MAT, CAT",16:NA|10:NA|4:NA|1:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",tamil nadu,160000
adithya institute of technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",tamil nadu,150000
d.j. academy for managerial excellence,master of business administration,"TANCET, GMAT, CAT, XAT, MAT",16:NA|5:NA|1:NA|2:NA|4:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",tamil nadu,220000
dr g r damodaran institute of management,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Human Resources",tamil nadu,0
guruvayurappan institute of management,master of business administration,"MAT, CMAT, CAT, TANCET, Others",4:NA|3:NA|1:NA|16:NA|10:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Healthcare \/ Hospital \/ Pharma, Media & Communication",tamil nadu,120000
happy valley business school,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Human Resources",tamil nadu,0
jansons school of business,master of business administration,"CAT, XAT, MAT, GMAT, CMAT, ATMA, TANCET",1:NA|2:NA|4:NA|5:NA|3:NA|11:NA|16:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",tamil nadu,520000
k v institute of management and information studies,master of business administration,"TANCET, MAT, XAT, ATMA, Others, CAT, Others",16:NA|4:NA|2:NA|11:NA|10:NA|1:NA|10:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Digital Media",tamil nadu,200000
ranganathan engineering college,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Human Resources",tamil nadu,0
sasi creative school of architecture and business,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,coimbatore,2,India,2 Years,0,"Marketing, Human Resources",tamil nadu,100000
snt global academy of management studies and technology,master of business administration,"TANCET, CAT, Others",16:NA|1:NA|10:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",tamil nadu,162000
sree saraswathi thyagaraja college,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",tamil nadu,0
sri krishna college of engineering and technology,master of business administration,"MAT, CAT, XAT, CMAT, TANCET",4:NA|1:NA|2:NA|3:NA|16:NA,coimbatore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Entrepreneurship & Family Business",tamil nadu,600000
ajay binay institute of technology,master of business administration,"CAT, XAT, MAT, Others",1:NA|2:NA|4:NA|10:NA,cuttack,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Retail Management",orissa,200000
barabati institute of management studies,master of business administration,"MAT, CAT, XAT, Others",4:NA|1:NA|2:NA|10:NA,cuttack,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",orissa,168000
dhaneswar rath institute of engineering and management studies,master of business administration,"Others, MAT, CAT, XAT, CMAT",10:NA|4:NA|1:NA|2:NA|3:NA,cuttack,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",orissa,162000
institute of professional studies and research,master of business administration,"Others, CAT, XAT, MAT, CMAT, ATMA",10:NA|1:NA|2:NA|4:NA|3:NA|11:NA,cuttack,2,India,2 Years,0,"Finance, Marketing, Human Resources",orissa,120000
kushagra institute of information and management science,master of business administration,"CAT, XAT, MAT, Others",1:NA|2:NA|4:NA|10:NA,cuttack,2,India,2 Years,0,"Finance, Marketing, Human Resources",orissa,250000
sri sri university,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,cuttack,2,India,2 Years,0,Agri \/ Food \/ Rural Business,orissa,560000
sri sri university,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,cuttack,2,India,2 Years,0,Entrepreneurship & Family Business,orissa,660000
deen dayal upadhyay gorakhpur university,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,gorakhpur,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,88000
kipm college of management,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,gorakhpur,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business",uttar pradesh,116000
astral institute of technology and research,master of business administration,"ATMA, Others, CAT",11:NA|10:NA|1:NA,indore,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",madhya pradesh,70000
international institute of professional studies,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,indore,2,India,2 Years,0,"Finance, Marketing, Human Resources",madhya pradesh,114000
sahib institute of management and research,master of business administration,"CAT, MAT, XAT, ATMA",1:NA|4:NA|2:NA|11:NA,indore,2,India,2 Years,0,"Finance, Marketing, Human Resources",madhya pradesh,90000
shri atal bihari vajpayee government arts and commerce college,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,indore,2,India,2 Years,0,General Management,madhya pradesh,0
sri aurobindo institute of management and science,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,indore,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",madhya pradesh,100000
vikrant institute of business management,post graduate diploma in management,"CAT, MAT, XAT, ATMA",1:NA|4:NA|2:NA|11:NA,gwalior,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",madhya pradesh,90000
vyas institutes of management,master of business administration,"CAT, MAT",1:NA|4:NA,jodhpur,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Hospitality \/ Tourism, International Business",rajasthan,114000
vyas institutes of management,post graduate diploma in management,"CAT, MAT",1:NA|4:NA,jodhpur,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Power \/ Energy \/ Oil \/ Gas, Retail Management",rajasthan,100000
bansi college of management and technology,master of business administration,"CAT, MAT, XAT, CMAT",1:NA|4:NA|2:NA|3:NA,kanpur,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,161000
institute of business management,master of business administration,"CAT, MAT, XAT, ATMA, JMAT",1:NA|4:NA|2:NA|11:NA|19:NA,kolkata,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",west bengal,275000
meghnad saha institute of technology,master of business administration,"CAT, MAT, JMAT",1:NA|4:NA|19:NA,kolkata,2,India,2 Years,0,"Finance, Marketing, Human Resources",west bengal,450000
netaji subhash engineering college,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,kolkata,2,India,2 Years,0,"Finance, Marketing, Human Resources",west bengal,450000
seacom engineering college,master of business administration,"JMAT, MAT, CAT",19:NA|4:NA|1:NA,howrah,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",west bengal,160000
swami vivekananda institute of management and computer science,master of business administration,"CAT, CMAT, MAT, XAT, JMAT",1:NA|3:NA|4:NA|2:NA|19:NA,kolkata,2,India,2 Years,0,"Finance, Marketing, Human Resources",west bengal,380000
aryavart institute of technology and management,master of business administration,"UPSEE, CAT, MAT, XAT, ATMA, Others",15:NA|1:NA|4:NA|2:NA|11:NA|10:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business",uttar pradesh,127000
basudev institute of management and technology,master of business administration,"CAT, MAT, XAT, ATMA, CMAT, UPSEE",1:NA|4:NA|2:NA|11:NA|3:NA|15:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,92000
g.c.r.g group of institutions,master of business administration,"UPSEE, CAT, MAT",15:NA|1:NA|4:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,290000
global school of management,master of business administration,"UPSEE, CAT, MAT, Others",15:NA|1:NA|4:NA|10:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,148000
himalayan institute of technology and management,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Human Resources",uttar pradesh,161000
institute of management research and technology,post graduate diploma in management,"CAT, MAT, XAT, ATMA",1:NA|4:NA|2:NA|11:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,190000
institute of management research and technology,master of business administration,"CAT, MAT, XAT, CMAT, GMAT",1:NA|4:NA|2:NA|3:NA|5:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,0
international institute for special education,post graduate diploma in management,"CAT, MAT, XAT, CMAT, GMAT, ATMA",1:NA|4:NA|2:NA|3:NA|5:NA|11:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,360000
noble institute of management and technology. lucknow,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,lucknow,2,India,2 Years,0,"Operations \/ SCM \/ Production, Information Technology, Infrastructure \/ Real Estate",uttar pradesh,187000
rameshwaram institute of technology and management,master of business administration,"UPSEE, CAT, MAT",15:NA|1:NA|4:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,116000
rameshwaram institute of technology and management,post graduate diploma in management,"UPSEE, CAT, MAT, CMAT",15:NA|1:NA|4:NA|3:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,183000
s s institute of management,post graduate diploma in management,"CAT, MAT, Others",1:NA|4:NA|10:NA,lucknow,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,183000
sri ramswaroop memorial college of engineering and management,master of business administration,"CAT, MAT, XAT, UPSEE",1:NA|4:NA|2:NA|15:NA,lucknow,2,India,2 Years,0,"Marketing, Information Technology, Human Resources",uttar pradesh,208000
sri ramswaroop memorial college of engineering and management,post graduate diploma in management,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,lucknow,2,India,2 Years,0,"Marketing, Information Technology, Human Resources",uttar pradesh,208000
bhutta college of engineering and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,ludhiana,2,India,2 Years,0,"Finance, Marketing, Human Resources",punjab,140000
gujrawala guru nanak institute of management and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,ludhiana,2,India,2 Years,0,"Finance, Marketing, Human Resources",punjab,156000
gulzar group of institutes,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,ludhiana,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",punjab,180000
guru nanak dev engineering college,master of business administration,"CMAT, CAT, MAT",3:NA|1:NA|4:NA,ludhiana,2,India,2 Years,0,"Finance, Marketing, Human Resources",punjab,195000
m.e.s college of engineering,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,malappuram,2,India,2 Years,0,"Finance, Marketing, Human Resources",kerala,130000
